Líneas Nazca,Estudios
Europa miras sana política debería preparado y ejecutado proyecto independencia americana equilibrio mundo Simón Bolívar libros gratis documento descargado exige legítimo y seguro adquirirse establecimientos ultramarinos comercio,Europa halla agitada violentas pasiones venganza ambición y codicia España autorizada leyes equidad a ilustrarla entendidos intereses
Europa halla agitada violentas pasiones venganza ambición y codicia España autorizada leyes equidad a ilustrarla entendidos intereses,escritores tratado materia acordaban
escritores tratado materia acordaban,consecuencia esperábamos razón naciones cultas apresurarían a auxiliarnos adquiriésemos cuyas ventajas recíprocas a entrambos hemisferios
consecuencia esperábamos razón naciones cultas apresurarían a auxiliarnos adquiriésemos cuyas ventajas recíprocas a entrambos hemisferios,cuán frustradas europeos hermanos Norte mantenido inmóviles espectadores contienda pur esencia justa y resultados bella e importante suscitado siglos antiguos y modernos calcular trascendencia libertad hemisferio Colón
cuán frustradas europeos hermanos Norte mantenido inmóviles espectadores contienda pur esencia justa y resultados bella e importante suscitado siglos antiguos y modernos calcular trascendencia libertad hemisferio Colón,felonía Bonaparte prendió a Carlos IV y a Fernando VII reyes nación siglos aprisionó traición a monarcas América Meridional acto manifiesto retribución divina y prueba Dios sostiene justa causa americanos y concederá independencia
felonía Bonaparte prendió a Carlos IV y a Fernando VII reyes nación siglos aprisionó traición a monarcas América Meridional acto manifiesto retribución divina y prueba Dios sostiene justa causa americanos y concederá independencia,aludir monarca México Moteuczoma preso Cortés y muerto Herrera Solís pueblo y a Atahualpa Inca Perú destruido Francisco Pizarro y Diego Almagro
aludir monarca México Moteuczoma preso Cortés y muerto Herrera Solís pueblo y a Atahualpa Inca Perú destruido Francisco Pizarro y Diego Almagro,diferencia suerte reyes españoles y reyes americanos admiten comparación tratados dignidad conservados y recobran libertad y trono sufren tormentos inauditos y vilipendios vergonzosos
diferencia suerte reyes españoles y reyes americanos admiten comparación tratados dignidad conservados y recobran libertad y trono sufren tormentos inauditos y vilipendios vergonzosos,a Quauhtemotzin sucesor Moteuczoma emperador y ponen corona irrisión y respeto experimentase escarnio torturas
a Quauhtemotzin sucesor Moteuczoma emperador y ponen corona irrisión y respeto experimentase escarnio torturas,Iguales a suerte monarca rey Michoacán Catzontzin Zipa Bogotá y Toquis Incas Zipas Ulmenes Caciques y dignidades Carta Jamaica libros gratis documento descargado indianas sucumbieron español
Iguales a suerte monarca rey Michoacán Catzontzin Zipa Bogotá y Toquis Incas Zipas Ulmenes Caciques y dignidades Carta Jamaica libros gratis documento descargado indianas sucumbieron español,suceso Fernando VII semejante Chile Ulmén Copiapó reinante comarca
suceso Fernando VII semejante Chile Ulmén Copiapó reinante comarca,español Almagro pretextó Bonaparte tomar partido causa legítimo soberano y consecuencia llama usurpador Fernando España aparenta restituir legítimo a y termina encadenar y echar a llamas infeliz Ulmén querer oír defensa
español Almagro pretextó Bonaparte tomar partido causa legítimo soberano y consecuencia llama usurpador Fernando España aparenta restituir legítimo a y termina encadenar y echar a llamas infeliz Ulmén querer oír defensa,Fernando VII usurpador reyes europeos padecen destierros Ulmén Chile termina vida atroz
Fernando VII usurpador reyes europeos padecen destierros Ulmén Chile termina vida atroz,meses añade reflexiones situación americanos y esperanzas futuras tomo grande interés sucesos faltan informes relativo a actual y a aspiran deseo infinitamente política provincia población desean repúblicas o monarquías formarán república o noticia especie darme o indicarme fuentes a debo ocurrir estimaré favor particular
meses añade reflexiones situación americanos y esperanzas futuras tomo grande interés sucesos faltan informes relativo a actual y a aspiran deseo infinitamente política provincia población desean repúblicas o monarquías formarán república o noticia especie darme o indicarme fuentes a debo ocurrir estimaré favor particular,almas generosas interesan suerte pueblo esmera recobrar derechos Criador y naturaleza dotado y necesario fascinado error o pasiones abrigar noble sensación pensado país y interesa acto benevolencia inspira vivo reconocimiento
almas generosas interesan suerte pueblo esmera recobrar derechos Criador y naturaleza dotado y necesario fascinado error o pasiones abrigar noble sensación pensado país y interesa acto benevolencia inspira vivo reconocimiento,población calcula datos o exactos mil circunstancias fallidos fácil remediar inexactitud moradores habitaciones campestres y errantes labradores pastores nómadas perdidos espesos e inmensos bosques llanuras solitarias y aislados lagos y ríos capaz formar estadística completa semejantes tributos pagan indígenas penalidades esclavos primicias diezmos y derechos pesan labradores y accidentes alejan hogares a pobres americanos
población calcula datos o exactos mil circunstancias fallidos fácil remediar inexactitud moradores habitaciones campestres y errantes labradores pastores nómadas perdidos espesos e inmensos bosques llanuras solitarias y aislados lagos y ríos capaz formar estadística completa semejantes tributos pagan indígenas penalidades esclavos primicias diezmos y derechos pesan labradores y accidentes alejan hogares a pobres americanos,Simón Bolívar libros gratis documento descargado mención guerra exterminio segado octavo población y ahuyentado dificultades insuperables y empadronamiento vendrá a reducirse a mitad censo
Simón Bolívar libros gratis documento descargado mención guerra exterminio segado octavo población y ahuyentado dificultades insuperables y empadronamiento vendrá a reducirse a mitad censo,dificil presentir suerte futura Mundo establecer principios política y profetizar naturaleza gobierno llegará a adoptar
dificil presentir suerte futura Mundo establecer principios política y profetizar naturaleza gobierno llegará a adoptar,idea relativa porvenir país prever género humano hallaba infancia rodeado tanta incertidumbre ignorancia y error régimen abrazaría habría atrevido a nación república o monarquía pequeña concepto imagen situación
idea relativa porvenir país prever género humano hallaba infancia rodeado tanta incertidumbre ignorancia y error régimen abrazaría habría atrevido a nación república o monarquía pequeña concepto imagen situación,pequeño género humano poseemos mundo aparte cercado dilatados mares artes y ciencias viejos usos sociedad civil
pequeño género humano poseemos mundo aparte cercado dilatados mares artes y ciencias viejos usos sociedad civil,considero actual América desplomado imperio romano desmembración formó sistema político conforme a intereses y situación o siguiendo ambición particular jefes familias o corporaciones notable diferencia miembros dispersos volvían a restablecer antiguas naciones alteraciones exigían o sucesos conservamos vestigios y indios europeos especie media legítimos propietarios país y usurpadores españoles suma americanos nacimientos y derechos Europa disputar a país y mantenernos invasión invasores hallamos caso extraordinario y complicado
considero actual América desplomado imperio romano desmembración formó sistema político conforme a intereses y situación o siguiendo ambición particular jefes familias o corporaciones notable diferencia miembros dispersos volvían a restablecer antiguas naciones alteraciones exigían o sucesos conservamos vestigios y indios europeos especie media legítimos propietarios país y usurpadores españoles suma americanos nacimientos y derechos Europa disputar a país y mantenernos invasión invasores hallamos caso extraordinario y complicado,obstante especie adivinación indicar resultado línea política América siga atrevo a aventurar conjeturas caracterizo arbitrarias dictadas deseo racional y raciocinio probable
obstante especie adivinación indicar resultado línea política América siga atrevo a aventurar conjeturas caracterizo arbitrarias dictadas deseo racional y raciocinio probable,posición moradores hemisferio americano Carta Jamaica libros gratis documento descargado siglos puramente pasiva existencia política nula
posición moradores hemisferio americano Carta Jamaica libros gratis documento descargado siglos puramente pasiva existencia política nula,estábamos grado abajo servidumbre y dificultad elevarnos goce libertad
estábamos grado abajo servidumbre y dificultad elevarnos goce libertad,Permítame consideraciones elevar cuestión
Permítame consideraciones elevar cuestión,esclavos naturaleza constitución o abuso pueblo esclavo gobierno esencia o vicios holla y usurpa derechos ciudadano o súbdito
esclavos naturaleza constitución o abuso pueblo esclavo gobierno esencia o vicios holla y usurpa derechos ciudadano o súbdito,Aplicando principios hallaremos América privada libertad tiranía activa y dominante
Aplicando principios hallaremos América privada libertad tiranía activa y dominante,explicaré
explicaré,administraciones absolutas reconocen límites ejercicio facultades gubernativas voluntad Sultán Kan Dey y soberanos despóticos ley suprema y arbitrariamente ejecutada bajaes kanes y sátrapas subalternos Turquía y Persia organizada opresión participan súbditos razón autoridad confía
administraciones absolutas reconocen límites ejercicio facultades gubernativas voluntad Sultán Kan Dey y soberanos despóticos ley suprema y arbitrariamente ejecutada bajaes kanes y sátrapas subalternos Turquía y Persia organizada opresión participan súbditos razón autoridad confía,A encargada administración civil militar política rentas y religión
A encargada administración civil militar política rentas y religión,persas jefes Hispahan turcos visires señor tártaros sultanes Tartaria
persas jefes Hispahan turcos visires señor tártaros sultanes Tartaria,China envía a buscar mandatarios militares y letrados país Gengis Kan conquistó a actuales chinos descendientes directos subyugados ascendientes presentes tártaros
China envía a buscar mandatarios militares y letrados país Gengis Kan conquistó a actuales chinos descendientes directos subyugados ascendientes presentes tártaros,Cuán vejaba conducta privarnos derechos correspondían dejaba especie infancia permanente a transacciones públicas
Cuán vejaba conducta privarnos derechos correspondían dejaba especie infancia permanente a transacciones públicas,hubiésemos siquiera manejado asuntos domésticos administración interior conoceríamos curso negocios públicos y mecanismo
hubiésemos siquiera manejado asuntos domésticos administración interior conoceríamos curso negocios públicos y mecanismo,Gozaríamos consideración personal impone a ojos pueblo respeto maquinal necesario conservar revoluciones
Gozaríamos consideración personal impone a ojos pueblo respeto maquinal necesario conservar revoluciones,estábamos privados tiranía activa permitido ejercer funciones
estábamos privados tiranía activa permitido ejercer funciones,americanos sistema español vigor y fuerza ocupan sociedad Simón Bolívar libros gratis documento descargado siervos y simples consumidores y coartada restricciones chocantes tales prohibiciones cultivo frutos Europa estanco producciones rey monopoliza impedimento fábricas península posee privilegios exclusivos comercio objetos necesidad trabas provincias y provincias americanas traten entienden negocien campos cultivar añil grana café caña cacao y algodón llanuras solitarias criar ganados desiertos cazar bestias feroces entrañas tierra excavar oro saciar a nación avarienta
americanos sistema español vigor y fuerza ocupan sociedad Simón Bolívar libros gratis documento descargado siervos y simples consumidores y coartada restricciones chocantes tales prohibiciones cultivo frutos Europa estanco producciones rey monopoliza impedimento fábricas península posee privilegios exclusivos comercio objetos necesidad trabas provincias y provincias americanas traten entienden negocien campos cultivar añil grana café caña cacao y algodón llanuras solitarias criar ganados desiertos cazar bestias feroces entrañas tierra excavar oro saciar a nación avarienta,negativo encuentro semejante asociación civilizada recorro serie edades y política naciones
negativo encuentro semejante asociación civilizada recorro serie edades y política naciones,Pretender país felizmente constituido extenso rico y populoso meramente pasivo ultraje y violación derechos humanidad
Pretender país felizmente constituido extenso rico y populoso meramente pasivo ultraje y violación derechos humanidad,Estábamos acabo exponer abstraídos y digámoslo ausentes universo relativo a ciencia gobierno y administración
Estábamos acabo exponer abstraídos y digámoslo ausentes universo relativo a ciencia gobierno y administración,Jamás éramos virreyes gobernadores causas extraordinarias arzobispos y obispos diplomáticos militares calidad subalternos nobles privilegios reales éramos magistrados financistas y comerciantes contraversión directa instituciones
Jamás éramos virreyes gobernadores causas extraordinarias arzobispos y obispos diplomáticos militares calidad subalternos nobles privilegios reales éramos magistrados financistas y comerciantes contraversión directa instituciones,emperados Carlos V formó pacto descubridores conquistadores y pobladores América Guerra contrato social
emperados Carlos V formó pacto descubridores conquistadores y pobladores América Guerra contrato social,reyes España convinieron solemnemente ejecutasen y riesgo prohibiéndoseles a costa real hacienda y razón concedía fuesen señores tierra organizasen administración y ejerciesen judicatura apelación exenciones y privilegios proligo detallar
reyes España convinieron solemnemente ejecutasen y riesgo prohibiéndoseles a costa real hacienda y razón concedía fuesen señores tierra organizasen administración y ejerciesen judicatura apelación exenciones y privilegios proligo detallar,rey comprometió a enajenar jamás provincias americanas a tocaba Carta Jamaica libros gratis documento descargado jurisdicción alto dominio especie propiedad feudal tenían conquistadores y descendientes
rey comprometió a enajenar jamás provincias americanas a tocaba Carta Jamaica libros gratis documento descargado jurisdicción alto dominio especie propiedad feudal tenían conquistadores y descendientes,leyes expresas favorecen exclusivamente a naturales país originarios España a empleos civiles eclesiásticos y rentas
leyes expresas favorecen exclusivamente a naturales país originarios España a empleos civiles eclesiásticos y rentas,violación manifiesta leyes y pactos subsistentes visto despojar naturales autoridad constitucional daba código
violación manifiesta leyes y pactos subsistentes visto despojar naturales autoridad constitucional daba código,referido facil colegir América preparada par desprenderse metrópoli súbitamente sucedió efecto ilegítimas cesiones Bayona y inicua guerra regencia declaró derecho falta justicia legitimidad
referido facil colegir América preparada par desprenderse metrópoli súbitamente sucedió efecto ilegítimas cesiones Bayona y inicua guerra regencia declaró derecho falta justicia legitimidad,naturaleza gobiernos españoles decretos conminatorios y hostiles y curso entero desesperada conducta escritos mérito periódico Español cuyo autor Blanco y estando historia tratada limito a indicarlo
naturaleza gobiernos españoles decretos conminatorios y hostiles y curso entero desesperada conducta escritos mérito periódico Español cuyo autor Blanco y estando historia tratada limito a indicarlo,americanos subido y conocimientos previos y sencible práctica negocios públicos a representar escena mundo eminentes dignidades legisladores magistrados administradores erario diplomáticos generales y autoridades supremas y subalternas forman jerarquía organizado regularidad
americanos subido y conocimientos previos y sencible práctica negocios públicos a representar escena mundo eminentes dignidades legisladores magistrados administradores erario diplomáticos generales y autoridades supremas y subalternas forman jerarquía organizado regularidad,águilas francesas respetaron muros ciudad Cádiz y vuelo arrollaron a frágiles gobiernos Península quedamos orfandad
águilas francesas respetaron muros ciudad Cádiz y vuelo arrollaron a frágiles gobiernos Península quedamos orfandad,habíamos entregados a merced usurpador extranjero
habíamos entregados a merced usurpador extranjero,lisonjeados justicia debía esperanzas halagüeñas burladas inciertos destino futuro y amenazados anarquía a causa falta gobierno legítimo justo y liberal precipitamos caos revolución
lisonjeados justicia debía esperanzas halagüeñas burladas inciertos destino futuro y amenazados anarquía a causa falta gobierno legítimo justo y liberal precipitamos caos revolución,cuidó proveer a seguridad interior enemigos encerraba seno
cuidó proveer a seguridad interior enemigos encerraba seno,extendió a seguridad exterior establecieron autoridades sustituimos a Simón Bolívar libros gratis documento descargado bamos deponer encargadas dirigir curso revolución y aprovechar coyuntura feliz fuese fundar gobierno constitucional digno presente siglo y adecuado a situación
extendió a seguridad exterior establecieron autoridades sustituimos a Simón Bolívar libros gratis documento descargado bamos deponer encargadas dirigir curso revolución y aprovechar coyuntura feliz fuese fundar gobierno constitucional digno presente siglo y adecuado a situación,gobiernos marcaron pasos establecimiento juntas populares
gobiernos marcaron pasos establecimiento juntas populares,formaron seguidas reglamentos convocación congresos produjeron alteraciones importantes
formaron seguidas reglamentos convocación congresos produjeron alteraciones importantes,Venezuela erigió gobierno democrático federal declarando previamente derechos hombre manteniendo equilibrio poderes y estatuyendo leyes generales favor libertad civil imprenta y finalmente constituyó gobierno independiente
Venezuela erigió gobierno democrático federal declarando previamente derechos hombre manteniendo equilibrio poderes y estatuyendo leyes generales favor libertad civil imprenta y finalmente constituyó gobierno independiente,Granada siguió uniformidad establecimientos políticos y reformas Venezuela poniendo base fundamental Constitución sistema federal exagerado jamás existió recientemente mejorado ejecutivo obtenido atribuciones corresponden
Granada siguió uniformidad establecimientos políticos y reformas Venezuela poniendo base fundamental Constitución sistema federal exagerado jamás existió recientemente mejorado ejecutivo obtenido atribuciones corresponden,entiendo Aires y Chile seguido línea operaciones hallamos a tanta distancia documentos raros y noticias inexactas animaré a bosquejar cuadro transacciones
entiendo Aires y Chile seguido línea operaciones hallamos a tanta distancia documentos raros y noticias inexactas animaré a bosquejar cuadro transacciones,sucesos México complicados rápidos y desgraciados puedan seguir curso revolución
sucesos México complicados rápidos y desgraciados puedan seguir curso revolución,Carecemos documentos instructivos hagan capaces juzgarlos
Carecemos documentos instructivos hagan capaces juzgarlos,independientes México principio a insurrección setiembre y año tenían centralizado gobierno Zitácuaro instalado Junta Nacional auspicios Fernando VII cuyo nombre ejercían funciones gubernativas
independientes México principio a insurrección setiembre y año tenían centralizado gobierno Zitácuaro instalado Junta Nacional auspicios Fernando VII cuyo nombre ejercían funciones gubernativas,acontecimientos guerra Junta trasladó a lugares y verosímil conservado momentos modificaciones sucesos hayan exigido
acontecimientos guerra Junta trasladó a lugares y verosímil conservado momentos modificaciones sucesos hayan exigido,creado generalísimo o dictador ilustre Morelos célebre Rayón hombres o separadamente ejercen autoridad suprema país y recientemente aparecido Carta Jamaica libros gratis documento descargado titución régimen
creado generalísimo o dictador ilustre Morelos célebre Rayón hombres o separadamente ejercen autoridad suprema país y recientemente aparecido Carta Jamaica libros gratis documento descargado titución régimen,marzo gobierno residente Zultepec presentó plan paz y guerra virrey México concebido profunda sabiduría
marzo gobierno residente Zultepec presentó plan paz y guerra virrey México concebido profunda sabiduría,reclamó derecho gentes estableciendo principios exactitud incontestable
reclamó derecho gentes estableciendo principios exactitud incontestable,Propuso Junta guerra hiciese hermanos y conciudadanos debía cruel naciones extranjeras derechos gentes guerra inviolables infieles y bárbaros debían serlo cristianos sujetos a soberano y a leyes prisioneros fuesen tratados reos lesa majestad degollasen rendían armas mantuviesen rehenes canjearlos entrase a sangre y fuego poblaciones pacíficas diezmasen quintasen sacrificarlas y concluye caso admitirse plan observarían rigorosamente represalias
Propuso Junta guerra hiciese hermanos y conciudadanos debía cruel naciones extranjeras derechos gentes guerra inviolables infieles y bárbaros debían serlo cristianos sujetos a soberano y a leyes prisioneros fuesen tratados reos lesa majestad degollasen rendían armas mantuviesen rehenes canjearlos entrase a sangre y fuego poblaciones pacíficas diezmasen quintasen sacrificarlas y concluye caso admitirse plan observarían rigorosamente represalias,negociación trató alto desprecio dió respuesta a Junta Nacional comunicaciones originales quemaron públicamente plaza México mano verdugo y guerra exterminio continuó españoles furor acostumbrado mexicanos y naciones americanas hacían a muerte prisioneros guerra fuesen españoles
negociación trató alto desprecio dió respuesta a Junta Nacional comunicaciones originales quemaron públicamente plaza México mano verdugo y guerra exterminio continuó españoles furor acostumbrado mexicanos y naciones americanas hacían a muerte prisioneros guerra fuesen españoles,observa causas conveniencia conservó apariencia sumisión rey y a Constitución monarquía
observa causas conveniencia conservó apariencia sumisión rey y a Constitución monarquía,Junta Nacional absoluta ejercicio funciones legislativas ejecutiva y judicial y número miembros limitado
Junta Nacional absoluta ejercicio funciones legislativas ejecutiva y judicial y número miembros limitado,acontecimientos Tierra Firme probado instituciones perfectamente representativas adecuadas a carácter costumbres y luces actuales
acontecimientos Tierra Firme probado instituciones perfectamente representativas adecuadas a carácter costumbres y luces actuales,Caracas espíritu partido tomó origen sociedades asambleas y elecciones populares y partidos tornaron a esclavitud
Caracas espíritu partido tomó origen sociedades asambleas y elecciones populares y partidos tornaron a esclavitud,Y Venezuela república americana adelantado instituciones políticas ineficacia forma democrática y federal nacientes
Y Venezuela república americana adelantado instituciones políticas ineficacia forma democrática y federal nacientes,Granada excesivas facultades gobiernos provinciales y falta centralización conducido precioso Simón Bolívar libros gratis documento descargado país a ve reducido
Granada excesivas facultades gobiernos provinciales y falta centralización conducido precioso Simón Bolívar libros gratis documento descargado país a ve reducido,razón débiles enemigos conservado probabilidades
razón débiles enemigos conservado probabilidades,compatriotas adquieran talentos y virtudes políticas distinguen a hermanos Norte sistemas enteramente populares sernos favorables temo vengan a ruina
compatriotas adquieran talentos y virtudes políticas distinguen a hermanos Norte sistemas enteramente populares sernos favorables temo vengan a ruina,Desgraciadamente cualidades parecen distantes grado requiere y contrario dominados vicios contraen dirección nación española sobresalido fiereza ambición venganza y codicia
Desgraciadamente cualidades parecen distantes grado requiere y contrario dominados vicios contraen dirección nación española sobresalido fiereza ambición venganza y codicia,difícil Montesquieu sacar pueblo servidumbre subyugar libre
difícil Montesquieu sacar pueblo servidumbre subyugar libre,comprobada anales tiempos muestran naciones libres sometidas yugo y esclavas recobrar libertad
comprobada anales tiempos muestran naciones libres sometidas yugo y esclavas recobrar libertad,A convencimiento meridionales continente manifestado conato instituciones liberales y perfectas duda efecto instinto hombres aspirar a felicidad alcanza infaliblemente sociedades civiles fundadas bases justicia libertad y igualdad
A convencimiento meridionales continente manifestado conato instituciones liberales y perfectas duda efecto instinto hombres aspirar a felicidad alcanza infaliblemente sociedades civiles fundadas bases justicia libertad y igualdad,concebir pueblo recientemente desencadenado lance a esfera libertad a Icaro deshagan alas y recaiga prodigio inconcebible visto
concebir pueblo recientemente desencadenado lance a esfera libertad a Icaro deshagan alas y recaiga prodigio inconcebible visto,consiguiente raciocinio verosímil halague esperanza
consiguiente raciocinio verosímil halague esperanza,deseo formar América grande nación mundo extensión y riquezas libertad y gloria
deseo formar América grande nación mundo extensión y riquezas libertad y gloria,aspiro a perfección gobierno patria persuadirme Mundo elmomento regido república imposible atrevo a desearlo y meno deseo monarquía universal América proyecto útil imposible
aspiro a perfección gobierno patria persuadirme Mundo elmomento regido república imposible atrevo a desearlo y meno deseo monarquía universal América proyecto útil imposible,abusos reformarían y regeneración infructuosa
abusos reformarían y regeneración infructuosa,americanos menester cuidados Carta Jamaica libros gratis documento descargado gobiernos paternales curen llagas y heridas despotismo y guerra
americanos menester cuidados Carta Jamaica libros gratis documento descargado gobiernos paternales curen llagas y heridas despotismo y guerra,metrópoli México única serlo intrínseco metrópoli
metrópoli México única serlo intrínseco metrópoli,Supongamos fuese Istmo Panamá punto céntrico extremos vasto continente continuarían languidez y desorden gobierno dé vida anime ponga acción resortes prosperidad pública corrija ilustre y perfeccione Mundo necesario tuviese facultades Dios y luces y virtudes hombres
Supongamos fuese Istmo Panamá punto céntrico extremos vasto continente continuarían languidez y desorden gobierno dé vida anime ponga acción resortes prosperidad pública corrija ilustre y perfeccione Mundo necesario tuviese facultades Dios y luces y virtudes hombres,espíritu partido presente agita a encendería encono hallándose ausente fuente únicamente reprimirlo
espíritu partido presente agita a encendería encono hallándose ausente fuente únicamente reprimirlo,magnates capitales sufrirían preponderancia metropolitanos a considerarían a tantos tiranos celos llegarían punto comparar a odiosos españoles
magnates capitales sufrirían preponderancia metropolitanos a considerarían a tantos tiranos celos llegarían punto comparar a odiosos españoles,monarquía semejante coloso diforme peso desplomaría a menor convulsión
monarquía semejante coloso diforme peso desplomaría a menor convulsión,Pradt dividido sabiamente a América a independientes gobernados tantos monarcas
Pradt dividido sabiamente a América a independientes gobernados tantos monarcas,a América comporta creación naciones a fácil conseguirlo útil y opinión monarquías americanas
a América comporta creación naciones a fácil conseguirlo útil y opinión monarquías americanas,razones
razones,interés entendido república circunscribe esfera conservación prosperidad y gloria
interés entendido república circunscribe esfera conservación prosperidad y gloria,ejerciendo libertad imperio precisamente opuesto estímulo excita a republicanos a extender términos nación detrimento medios único objeto participar a vecinos constitución liberal
ejerciendo libertad imperio precisamente opuesto estímulo excita a republicanos a extender términos nación detrimento medios único objeto participar a vecinos constitución liberal,derecho adquieren ventaja sacan venciéndolos a reduzcan a colonias conquistas o aliados siguiendo Roma
derecho adquieren ventaja sacan venciéndolos a reduzcan a colonias conquistas o aliados siguiendo Roma,Máximas y ejemplos tales oposición directa principios justicia sistemas republicanos y diré oposición manifiesta intereses ciudadanos Simón Bolívar libros gratis documento descargado extenso o dependencias cabo viene decadencia y convierte forma libre tiránica refleja principios conservarla y ocurre despotismo
Máximas y ejemplos tales oposición directa principios justicia sistemas republicanos y diré oposición manifiesta intereses ciudadanos Simón Bolívar libros gratis documento descargado extenso o dependencias cabo viene decadencia y convierte forma libre tiránica refleja principios conservarla y ocurre despotismo,distintivo pequeñas repúblicas permanencia vario inclina imperio
distintivo pequeñas repúblicas permanencia vario inclina imperio,primeras larga duración segundas Roma mantuvo siglos república capital y resto dominios gobernaban leyes e instituciones
primeras larga duración segundas Roma mantuvo siglos república capital y resto dominios gobernaban leyes e instituciones,contraria política rey cuya inclinación constante dirige aumento posesiones riquezas y facultades razón autoridad crece adquisiciones a vecinos a vasallos temen formidable imperio conserva guerra y conquistas
contraria política rey cuya inclinación constante dirige aumento posesiones riquezas y facultades razón autoridad crece adquisiciones a vecinos a vasallos temen formidable imperio conserva guerra y conquistas,razones pienso americanos ansiosos paz ciencias artes comercio y agricultura preferirían repúblicas a reinos y deseos conformarán miras Europa
razones pienso americanos ansiosos paz ciencias artes comercio y agricultura preferirían repúblicas a reinos y deseos conformarán miras Europa,convengo sistema federal populares y representativos perfecto y exigir virtudes y talentos políticos superiores a razón rehúso monarquía mixta aristocracia y democracia tanta fortuna y esplendor procurado a Inglaterra
convengo sistema federal populares y representativos perfecto y exigir virtudes y talentos políticos superiores a razón rehúso monarquía mixta aristocracia y democracia tanta fortuna y esplendor procurado a Inglaterra,siéndonos lograr repúblicas y monarquías perfecto y acabado evitemos caer anarquías demagógicas o tiranías monócratas
siéndonos lograr repúblicas y monarquías perfecto y acabado evitemos caer anarquías demagógicas o tiranías monócratas,Busquemos extremos opuestos conducirían a escollos a infelicidad y deshonor
Busquemos extremos opuestos conducirían a escollos a infelicidad y deshonor,a arriesgar resultado cavilaciones suerte futura América asequible
a arriesgar resultado cavilaciones suerte futura América asequible,naturaleza localidades riquezas población y carácter mexicanos imagino intentarían principio establecer república representativa atribuciones ejecutivo concentrándolo individuo desempeña funciones acierto y justicia naturalmente vendrá a conservar Carta Jamaica libros gratis documento descargado autoridad vitalicia
naturaleza localidades riquezas población y carácter mexicanos imagino intentarían principio establecer república representativa atribuciones ejecutivo concentrándolo individuo desempeña funciones acierto y justicia naturalmente vendrá a conservar Carta Jamaica libros gratis documento descargado autoridad vitalicia,incapacidad o violenta administración excita conmoción popular triunfe ejecutivo difundirá asamblea
incapacidad o violenta administración excita conmoción popular triunfe ejecutivo difundirá asamblea,partido preponderante militar o aristocrático exigirá probablemente monarquía principio limitada y constitucional y incevitablemente declinará absoluta debemos convenir difícil orden político conservación monarquía mixta y preciso convenir pueblo patriota inglés capaz contener autoridad rey y sostener espíritu libertad cetro y corona
partido preponderante militar o aristocrático exigirá probablemente monarquía principio limitada y constitucional y incevitablemente declinará absoluta debemos convenir difícil orden político conservación monarquía mixta y preciso convenir pueblo patriota inglés capaz contener autoridad rey y sostener espíritu libertad cetro y corona,Istmo Panamá Guatemala formarán asociación
Istmo Panamá Guatemala formarán asociación,magnífica posición mares emporio universo
magnífica posición mares emporio universo,canales acortarán distancias mundo estrecharán lazos comerciales Europa América y Asia traerán a feliz región tributos partes fijarse capital tierra pretendió Constantino fuese Bizancio antiguo hemisferio
canales acortarán distancias mundo estrecharán lazos comerciales Europa América y Asia traerán a feliz región tributos partes fijarse capital tierra pretendió Constantino fuese Bizancio antiguo hemisferio,Granada unirá Venezuela llegan a convenirse formar república central cuya capital Maracaibo o ciudad nombre Casas honor héroe filantropía funde confines países soberbio puerto
Granada unirá Venezuela llegan a convenirse formar república central cuya capital Maracaibo o ciudad nombre Casas honor héroe filantropía funde confines países soberbio puerto,posición desconocida ventajosa respectos
posición desconocida ventajosa respectos,acceso fácil y situación fuerte hacerse inexpugnable
acceso fácil y situación fuerte hacerse inexpugnable,Posee clima puro y saludable territorio agricultura cría ganados y grande abundancia maderas construcción
Posee clima puro y saludable territorio agricultura cría ganados y grande abundancia maderas construcción,salvajes habitan serían civilizados y poseciones aumentarían adquisición Goajira
salvajes habitan serían civilizados y poseciones aumentarían adquisición Goajira,nación llamaría Colombia tributo justicia y gratitud criador hemisferio
nación llamaría Colombia tributo justicia y gratitud criador hemisferio,gobierno imitar inglés diferencia rey ejecutivo electivo vitalicio y jamás hereditario república cámara o senado legislativo hereditario tempestades políticas interponga Simón Bolívar libros gratis documento descargado olas populares y rayos gobierno y cuerpo legislativo libre elección restricciones Cámara Baja Inglaterra
gobierno imitar inglés diferencia rey ejecutivo electivo vitalicio y jamás hereditario república cámara o senado legislativo hereditario tempestades políticas interponga Simón Bolívar libros gratis documento descargado olas populares y rayos gobierno y cuerpo legislativo libre elección restricciones Cámara Baja Inglaterra,constitución participará formas y deseo participe vicios
constitución participará formas y deseo participe vicios,patria derecho incontestable desearla opinión
patria derecho incontestable desearla opinión,Granada convenga reconocimiento gobierno central extremo adicta a federación formará subsiste dichoso recursos géneros
Granada convenga reconocimiento gobierno central extremo adicta a federación formará subsiste dichoso recursos géneros,opiniones prevalecen Aires Chile y Perú juzgando trasluce y apariencias Aires gobierno central militares lleven primacía consecuencia divisiones intestinas y guerras externas
opiniones prevalecen Aires Chile y Perú juzgando trasluce y apariencias Aires gobierno central militares lleven primacía consecuencia divisiones intestinas y guerras externas,constitución degenerará necesariamente oligarquía o monocracia o restricciones y cuya denominación adivinar
constitución degenerará necesariamente oligarquía o monocracia o restricciones y cuya denominación adivinar,doloroso cosa sucediese habitantes acreedores a espléndida gloria
